"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Albert_K._Dawson","Albert K. Dawson",1885
"http://dbpedia.org/resource/Joseph_Ruttenberg","Joseph Ruttenberg",1889
"http://dbpedia.org/resource/Roy_Stryker","Roy Stryker",1893
"http://dbpedia.org/resource/Tom_Howard_(photographer)","Tom Howard (photographer)",1894
"http://dbpedia.org/resource/André_Kertész","André Kertész",1894
"http://dbpedia.org/resource/Thérèse_Bonney","Thérèse Bonney",1894
"http://dbpedia.org/resource/Dorothea_Lange","Dorothea Lange",1895
"http://dbpedia.org/resource/Conrad_Friberg","Conrad Friberg",1896
"http://dbpedia.org/resource/Alfred_Eisenstaedt","Alfred Eisenstaedt",1898
"http://dbpedia.org/resource/Weegee","Weegee",1899
"http://dbpedia.org/resource/Paul_Henderson_(photojournalist)","Paul Henderson (photojournalist)",1899
"http://dbpedia.org/resource/Lucien_Aigner","Lucien Aigner",1901
"http://dbpedia.org/resource/Russell_Lee_(photographer)","Russell Lee (photographer)",1903
"http://dbpedia.org/resource/Walker_Evans","Walker Evans",1903
"http://dbpedia.org/resource/Margaret_Bourke-White","Margaret Bourke-White",1904
"http://dbpedia.org/resource/Charles_Fenno_Jacobs","Charles Fenno Jacobs",1904
"http://dbpedia.org/resource/Gaetano_Faillace","Gaetano Faillace",1904
"http://dbpedia.org/resource/Harrison_Forman","Harrison Forman",1904
"http://dbpedia.org/resource/Lester_Balog","Lester Balog",1905
"http://dbpedia.org/resource/Marvin_Breckinridge_Patterson","Marvin Breckinridge Patterson",1905
"http://dbpedia.org/resource/Ruth_Robertson","Ruth Robertson",1905
"http://dbpedia.org/resource/Clifton_C._Edom","Clifton C. Edom",1907
"http://dbpedia.org/resource/Lee_Miller","Lee Miller",1907
"http://dbpedia.org/resource/Carl_Mydans","Carl Mydans",1907
"http://dbpedia.org/resource/Shirley_Burden","Shirley Burden",1908
"http://dbpedia.org/resource/Hansel_Mieth","Hansel Mieth",1909
