"photographer","fk_birth_place","title","description","fk_geographical_place","fk_event"
Eddie Thomas Adams,2,Saigon Execution,,,1
Eve Arnold,3,"",Cuba under Fidel Castro,"22",
Charlotte Finkelstein Brooks,4,"",Candidacy of D. D. Eisenhower,,2
Cornell Capa,5,,,,3
Max Desfor,6,Flight of Refugees Across Wrecked Bridge in Korea,,,4
Ronald Allen Edmonds,7,,assassination attempt on President Ronald Reagan's life,,
William M. Gallagher,8,"Adlai Stevenson's Shoe
",Presidential candidate Adlai Stevenson II,,
Jeff Widener,9,Tank Man,,,6
Neal Ulevich,10,,Serie of photographs of disorder and brutality in the streets of Bangkok,"23",
David Leeson,11,,,,
